month_number,month_text,hour,sun_position
1,January,0,night
1,January,1,night
1,January,2,night
1,January,3,night
1,January,4,night
1,January,5,night
1,January,6,night
1,January,7,sunrise
1,January,8,day
1,January,9,day
1,January,10,day
1,January,11,day
1,January,12,day
1,January,13,day
1,January,14,day
1,January,15,day
1,January,16,sunset
1,January,17,night
1,January,18,night
1,January,19,night
1,January,20,night
1,January,21,night
1,January,22,night
1,January,23,night
2,February,0,night
2,February,1,night
2,February,2,night
2,February,3,night
2,February,4,night
2,February,5,night
2,February,6,sunrise
2,February,7,day
2,February,8,day
2,February,9,day
2,February,10,day
2,February,11,day
2,February,12,day
2,February,13,day
2,February,14,day
2,February,15,day
2,February,16,day
2,February,17,sunset
2,February,18,night
2,February,19,night
2,February,20,night
2,February,21,night
2,February,22,night
2,February,23,night
3,March,0,night
3,March,1,night
3,March,2,night
3,March,3,night
3,March,4,night
3,March,5,night
3,March,6,sunrise
3,March,7,day
3,March,8,day
3,March,9,day
3,March,10,day
3,March,11,day
3,March,12,day
3,March,13,day
3,March,14,day
3,March,15,day
3,March,16,day
3,March,17,day
3,March,18,sunset
3,March,19,night
3,March,20,night
3,March,21,night
3,March,22,night
3,March,23,night
4,April,0,night
4,April,1,night
4,April,2,night
4,April,3,night
4,April,4,night
4,April,5,night
4,April,6,sunrise
4,April,7,day
4,April,8,day
4,April,9,day
4,April,10,day
4,April,11,day
4,April,12,day
4,April,13,day
4,April,14,day
4,April,15,day
4,April,16,day
4,April,17,day
4,April,18,day
4,April,19,sunset
4,April,20,night
4,April,21,night
4,April,22,night
4,April,23,night
5,May,0,night
5,May,1,night
5,May,2,night
5,May,3,night
5,May,4,night
5,May,5,sunrise
5,May,6,day
5,May,7,day
5,May,8,day
5,May,9,day
5,May,10,day
5,May,11,day
5,May,12,day
5,May,13,day
5,May,14,day
5,May,15,day
5,May,16,day
5,May,17,day
5,May,18,day
5,May,19,day
5,May,20,sunset
5,May,21,night
5,May,22,night
5,May,23,night
6,June,0,night
6,June,1,night
6,June,2,night
6,June,3,night
6,June,4,night
6,June,5,sunrise
6,June,6,day
6,June,7,day
6,June,8,day
6,June,9,day
6,June,10,day
6,June,11,day
6,June,12,day
6,June,13,day
6,June,14,day
6,June,15,day
6,June,16,day
6,June,17,day
6,June,18,day
6,June,19,day
6,June,20,sunset
6,June,21,night
6,June,22,night
6,June,23,night
7,July,0,night
7,July,1,night
7,July,2,night
7,July,3,night
7,July,4,night
7,July,5,sunrise
7,July,6,day
7,July,7,day
7,July,8,day
7,July,9,day
7,July,10,day
7,July,11,day
7,July,12,day
7,July,13,day
7,July,14,day
7,July,15,day
7,July,16,day
7,July,17,day
7,July,18,day
7,July,19,day
7,July,20,sunset
7,July,21,night
7,July,22,night
7,July,23,night
8,August,0,night
8,August,1,night
8,August,2,night
8,August,3,night
8,August,4,night
8,August,5,sunrise
8,August,6,day
8,August,7,day
8,August,8,day
8,August,9,day
8,August,10,day
8,August,11,day
8,August,12,day
8,August,13,day
8,August,14,day
8,August,15,day
8,August,16,day
8,August,17,day
8,August,18,day
8,August,19,sunset
8,August,20,night
8,August,21,night
8,August,22,night
8,August,23,night
9,September,0,night
9,September,1,night
9,September,2,night
9,September,3,night
9,September,4,night
9,September,5,night
9,September,6,sunrise
9,September,7,day
9,September,8,day
9,September,9,day
9,September,10,day
9,September,11,day
9,September,12,day
9,September,13,day
9,September,14,day
9,September,15,day
9,September,16,day
9,September,17,day
9,September,18,day
9,September,19,sunset
9,September,20,night
9,September,21,night
9,September,22,night
9,September,23,night
10,October,0,night
10,October,1,night
10,October,2,night
10,October,3,night
10,October,4,night
10,October,5,night
10,October,6,night
10,October,7,sunrise
10,October,8,day
10,October,9,day
10,October,10,day
10,October,11,day
10,October,12,day
10,October,13,day
10,October,14,day
10,October,15,day
10,October,16,day
10,October,17,day
10,October,18,sunset
10,October,19,night
10,October,20,night
10,October,21,night
10,October,22,night
10,October,23,night
11,November,0,night
11,November,1,night
11,November,2,night
11,November,3,night
11,November,4,night
11,November,5,night
11,November,6,night
11,November,7,sunrise
11,November,8,day
11,November,9,day
11,November,10,day
11,November,11,day
11,November,12,day
11,November,13,day
11,November,14,day
11,November,15,day
11,November,16,day
11,November,17,sunset
11,November,18,night
11,November,19,night
11,November,20,night
11,November,21,night
11,November,22,night
11,November,23,night
12,December,0,night
12,December,1,night
12,December,2,night
12,December,3,night
12,December,4,night
12,December,5,night
12,December,6,night
12,December,7,sunrise
12,December,8,day
12,December,9,day
12,December,10,day
12,December,11,day
12,December,12,day
12,December,13,day
12,December,14,day
12,December,15,day
12,December,16,sunset
12,December,17,night
12,December,18,night
12,December,19,night
12,December,20,night
12,December,21,night
12,December,22,night
12,December,23,night
